CPF,NOME_CANDIDATO,EMAIL,NASCIMENTO,GRAU_INSTRUCAO,OCUPACAO,PARTIDO,CARGO,ESTADO,NOME_URNA,ANO_ELEICAO,SEXO,SQ_CANDIDATO,ELEITO
3499564130,LEONARDO,LEO@GMAIL.COM,18/01/1991,SUPERIOR ,ADMINISTRADOR,PSD,DEPUTADO FEDERAL,GOIAS,LEO,2018,MASCULINO,15336587,ELEITO
3499564131,JOAO,LEO@GMAIL.COM,19/01/1991,SUPERIOR ,ADMINISTRADOR,PT,DEPUTADO FEDERAL,GOIAS,JOAO,2019,MASCULINO,15336588,NAO ELEITO
3499564132,JOSE,LEO@GMAIL.COM,20/01/1991,SUPERIOR ,ADMINISTRADOR,PL,DEPUTADO FEDERAL,GOIAS,JOSE,2020,MASCULINO,15336589,ELEITO
3499564133,REGINA,LEO@GMAIL.COM,21/01/1991,SUPERIOR ,ADMINISTRADOR,PU,DEPUTADO FEDERAL,GOIAS,REGINA,2021,MASCULINO,15336590,NAO ELEITO
3499564134,MORGANA,LEO@GMAIL.COM,22/01/1991,SUPERIOR ,ADMINISTRADOR,PSC,DEPUTADO FEDERAL,GOIAS,MORGANA,2022,MASCULINO,15336591,ELEITO
3499564135,BRUNO,LEO@GMAIL.COM,23/01/1991,SUPERIOR ,ADMINISTRADOR,PTB,DEPUTADO FEDERAL,GOIAS,BRUNO,2023,MASCULINO,15336592,NAO ELEITO
3499564136,PAULO,LEO@GMAIL.COM,24/01/1991,SUPERIOR ,ADMINISTRADOR,PV,DEPUTADO FEDERAL,GOIAS,PAULO,2024,MASCULINO,15336593,ELEITO
3499564137,MAURO,LEO@GMAIL.COM,25/01/1991,SUPERIOR ,ADMINISTRADOR,PV,DEPUTADO FEDERAL,GOIAS,MAURO,2025,MASCULINO,15336594,NAO ELEITO
3499564138,ORLANDO,LEO@GMAIL.COM,26/01/1991,SUPERIOR ,ADMINISTRADOR,PU,DEPUTADO FEDERAL,GOIAS,ORLANDO,2026,MASCULINO,15336595,ELEITO
3499564139,JESUALDA,LEO@GMAIL.COM,27/01/1991,SUPERIOR ,ADMINISTRADOR,PO,DEPUTADO FEDERAL,GOIAS,JESUALDA,2027,MASCULINO,15336596,NAO ELEITO
3499564140,GLAUCO,LEO@GMAIL.COM,28/01/1991,SUPERIOR ,ADMINISTRADOR,PV,DEPUTADO FEDERAL,GOIAS,GLAUCO,2028,MASCULINO,15336597,ELEITO
